cell_id,lat,lon,risk_score,rainfall_score,terrain_score,lake_proximity_score
CELL_002494,27.9625347362574,85.48232745403334,43.358340612849624,0.4629104362571296,0.2989697343404758,0.5388700477878834
CELL_002495,27.96343715289845,85.48231482741605,39.77664731171745,0.4629104362571296,0.18960741996814143,0.5407815631262525
CELL_002496,27.964339569415866,85.48230220021412,49.80867718342668,0.4629104362571296,0.48859513899594065,0.5427547402497302
CELL_002497,27.965241985809627,85.48228957242749,46.01288046177825,0.4629104362571296,0.37250141308257545,0.5449745645136427
CELL_002498,27.966144402079742,85.48227694405615,42.914375760067145,0.4629104362571296,0.27785057294075327,0.5466702636041314
CELL_002499,27.96704681822622,85.48226431510008,40.03477039549183,0.4629104362571296,0.18948923488001645,0.5486434407276091
CELL_002500,27.96794923424903,85.48225168555928,35.8249832999332,0.4629104362571296,0.061284106674888233,0.5505549560659782
CELL_002501,28.048263764709777,85.4811253119846,42.436411284106676,0.4613149375674425,0.10435486357330043,0.7074225373824572
CELL_002502,28.049166169592397,85.48111262973127,43.01517565044619,0.4613149375674425,0.11903550691125842,0.7101048250346848
CELL_002503,28.0518733834968,85.48107457945133,46.074799170991554,0.4613149375674425,0.202438209752839,0.718490827809465
CELL_002504,28.052775787883775,85.48106189485132,45.486956819622144,0.4613149375674425,0.18221314423719234,0.7210806227840296
CELL_002505,28.053678192146833,85.48104920966456,47.99162427418941,0.4613149375674425,0.2543317404038847,0.7241020502543549
CELL_002506,28.054580596285977,85.48103652389106,46.91425586215165,0.4613149375674425,0.21886593700220958,0.7272468012948975
CELL_002507,28.055483000301194,85.4810238375308,54.50259493345665,0.4613149375674425,0.44352551256358863,0.7302373978726684
CELL_002508,28.05638540419248,85.48101115058374,53.891115564462254,0.4613149375674425,0.42212887313087716,0.733289656235548
CELL_002509,28.05728780795985,85.48099846304986,42.771097751057674,0.4613149375674425,0.08529109501053389,0.7365268999537536
CELL_002510,28.05819021160327,85.48098577492917,48.31757532158334,0.4613149375674425,0.24860233287086994,0.7396099892091876
CELL_002511,28.059092615122765,85.48097308622161,52.43075895380505,0.4613149375674425,0.3686064436565439,0.743001387390165
CELL_002512,28.05999501851833,85.48096039692719,54.875306167891345,0.4613149375674425,0.4387364472534814,0.7462078002158162
CELL_002513,28.060897421789946,85.48094770704587,47.66104859291232,0.4613149375674425,0.2189481527156878,0.7495683675042393
CELL_002514,28.06179982493762,85.48093501657765,51.65433430964493,0.4613149375674425,0.33560197317712354,0.7527131185447818
CELL_002515,28.062702227961353,85.48092232552247,55.74096911772263,0.4613149375674425,0.4537921997841838,0.7571219361800524
CELL_002516,28.063604630861136,85.48090963388034,61.35972800301458,0.4613149375674425,0.6175761779970197,0.761900724525975
CELL_002517,28.064507033636968,85.48089694165125,63.539814672079196,0.4613149375674425,0.6782308206155901,0.7666486819793433
CELL_002518,28.06540943628885,85.48088424883514,61.431495469571615,0.4613149375674425,0.6103566106572119,0.7712733158624943
CELL_002519,28.06631183881677,85.48087155543203,54.726804035421274,0.4613149375674425,0.40415960125378964,0.7763295822414059
CELL_002520,28.067214241220732,85.48085886144187,64.3201788191768,0.4613149375674425,0.6865346076768922,0.7817558193309696
CELL_002521,28.068116643500733,85.48084616686467,69.64501652878407,0.4613149375674425,0.8407301783053286,0.7873053799907508
CELL_002522,28.069019045656766,85.48083347170035,57.57198156997756,0.4613149375674425,0.47329787780689586,0.7925466317249884
CELL_002523,28.069921447688838,85.48082077594896,70.01858417690082,0.4613149375674425,0.8414855351729099,0.7977570525666718
CELL_002524,28.070823849596934,85.48080807961043,62.55185584844904,0.4613149375674425,0.6120574482297929,0.8031832896562355
CELL_002525,28.071726251381065,85.48079538268476,67.3854546700238,0.4613149375674425,0.7516391757874724,0.8086095267457993
CELL_002526,28.07262865304121,85.48078268517192,67.69873079492318,0.4613149375674425,0.7560736858332048,0.813573300447048
CELL_002527,28.073531054577387,85.48076998707191,65.12469383210866,0.4613149375674425,0.6737038178921946,0.8187220595036226
CELL_002528,28.074433455989574,85.48075728838467,67.56461641231178,0.4613149375674425,0.7410744566055186,0.8245490981963928
