cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000163,414.3394964770598,9658.086843564957,6.55930720278301
CELL_000164,449.9415619812916,9658.086843564957,6.55930720278301
CELL_000165,490.5932915621138,3504.816679479516,-48.70085355331917
CELL_000166,513.9158728224722,3504.816679479516,-48.70085355331917
CELL_000167,19471.03806981739,21658.493753340324,23.797400912794288
CELL_000168,19375.187956256807,21658.493753340324,23.797400912794288
CELL_000169,19279.37999947806,21658.493753340324,23.797400912794288
CELL_000170,19183.61483110634,21658.493753340324,23.797400912794288
CELL_000171,19087.89309515874,21658.493753340324,23.797400912794288
CELL_000172,18992.2154483405,21658.493753340324,23.797400912794288
CELL_000173,18800.995114198726,21658.493753340324,23.797400912794288
CELL_000174,18705.45380652731,21658.493753340324,23.797400912794288
CELL_000175,18609.959347942815,21658.493753340324,23.797400912794288
CELL_000176,18514.51246336423,21658.493753340324,23.797400912794288
CELL_000177,18419.113892368645,21658.493753340324,23.797400912794288
CELL_000178,18323.764389557837,21658.493753340324,23.797400912794288
CELL_000179,1464.9166158941002,9658.086843564957,6.55930720278301
CELL_000180,1368.9311508476403,9658.086843564957,6.55930720278301
CELL_000181,1273.5636222816554,9658.086843564957,6.55930720278301
CELL_000182,1178.963996157461,9658.086843564957,6.55930720278301
CELL_000183,1085.3330864184463,9658.086843564957,6.55930720278301
CELL_000184,992.9449696294629,9658.086843564957,6.55930720278301
CELL_000185,901.7573554697003,9658.086843564957,6.55930720278301
CELL_000186,809.4680467984891,9658.086843564957,6.55930720278301
CELL_000187,719.2431504260155,9658.086843564957,6.55930720278301
CELL_000188,631.9674834045807,9658.086843564957,6.55930720278301
CELL_000189,549.0492607478917,9658.086843564957,6.55930720278301
CELL_000190,472.78671869397834,9658.086843564957,6.55930720278301
CELL_000191,405.867034845025,9658.086843564957,6.55930720278301
CELL_000192,348.59377133809505,9658.086843564957,6.55930720278301
CELL_000193,311.34552501881615,9658.086843564957,6.55930720278301
CELL_000194,300.04996087095054,9658.086843564957,6.55930720278301
CELL_000195,318.51919724329565,9658.086843564957,6.55930720278301
CELL_000196,362.6076423563513,9658.086843564957,6.55930720278301
CELL_000197,391.85189032138766,3504.816679479516,-48.70085355331917
CELL_000198,420.2533916305281,3504.816679479516,-48.70085355331917
CELL_000199,468.13672583124094,3504.816679479516,-48.70085355331917
CELL_000200,19499.71235420097,21658.493753340324,23.797400912794288
CELL_000201,19404.00388375019,21658.493753340324,23.797400912794288
CELL_000202,19308.338912101182,21658.493753340324,23.797400912794288
CELL_000203,19212.71808902949,21658.493753340324,23.797400912794288
CELL_000204,19117.142077007928,21658.493753340324,23.797400912794288
CELL_000205,19021.611551509144,21658.493753340324,23.797400912794288
CELL_000206,18926.12720131749,21658.493753340324,23.797400912794288
CELL_000207,18830.68972885523,21658.493753340324,23.797400912794288
CELL_000208,18735.29985050707,21658.493753340324,23.797400912794288
CELL_000209,18639.95829695935,21658.493753340324,23.797400912794288
CELL_000210,18544.665813554187,21658.493753340324,23.797400912794288
CELL_000211,18449.423160640185,21658.493753340324,23.797400912794288
CELL_000212,18354.23111395152,21658.493753340324,23.797400912794288
CELL_000213,18259.090464979803,21658.493753340324,23.797400912794288
